College Name,Address,Phone#,Website,Type,Degrees,Campus Type,Campus Housing,Student Pop,StudentsToTeachers,MissionStatement,Classification,SLOs,Religious Affiliation,Credits Accepted,Faculty(full-time),Faculty(part-time),Graduate Assistants,Tuition,Books/Supplies,Room/Board,Total Expenses,Undergraduate Avg Tuition (In-State),Undergraduate Avg Tuition (Out-of-State),Graduate Avg Tuition (In-State),Graduate Avg Tuition (Out-of-State),Avg Tuition,Avg Aid(grants),Gender Demographic(Male),Gender Demographic(Female),Ethnic Demographic (American Indian or Alaska Native),Ethnic Demographic (Asian),Ethnic Demographic(Black or African American),Ethnic Demographic(Hispanic/Latino),Ethnic Demographic(Native Hawaiian or other Pacific Islander),Ethnic Demographic(White),Ethnic Demographic(Two or more races),Ethnic Demographic(Unknown),Ethnic Demographic(Non-resident alien),Avg Student Age (24 and Under),Avg Student Age(25 and Over),Avg Student Residence (In-State),Avg Student Residence(Out-of-State),Avg Student Residence(Foreign Countries),Graduate Attendance Status(Full-time),Graduate Attendance Status(Part-time),Undergraduate Education Status (Remote),Undergraduate Education Status (In-Person),Graduate Education Status (Remote),Graduate Education Status (In-Person),Application Fee,Total Applicants,Percent Admitted,Percent Admitted Enrolled,Secondary School GPA,Secondary School Rank,Secondary School Record,Completion of College-Prep Program,Recommendation,SAT/ACT,TOEFL,Students Submitting Scores (SAT),Students Submitting Scores (ACT),SAT English 25th Percentile,SAT English 75th Percentile,SAT Math 25th percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,ACT English 25th Percentile,ACT English 75th Percentile,ACT Math 25th Percentile,ACT Math 75th Percentile,First-to-Second Year Retention Rate,Graduation Rate,Transfer Rate,Graduation Rate (Male),Graduation Rate (Female),Graduation Rate by Race/Ethnicity(American Indian or Alaska Native),Graduation Rate by Race/Ethnicity(Asian),Graduation Rate by Race/Ethnicity(Black or African American),Graduation Rate by Race/Ethnicity(Hispanic/Latino),Graduation Rate by Race/Ethnicity(Native Hawaiian or other Pacific Islander),Graduation Rate by Race/Ethnicity(White),Graduation Rate by Race/Ethnicity(Two or more Races),Graduation Rate by Race/Ethnicity(Race/Ethnicity Unknown),Graduation Rate by Race/Ethnicity(Non-resident Alien),Murder/Non-negligent Manslaughter,Negligent Manslaughter,Rape,Fondling,Incest,Statutory Rape,Robbery,Aggravated Assault,Burglary,Motor Vehicle Theft,Arson,Domestic Violence,Dating Violence,Stalking,Weapons Arrests,Drug Abuse Arrests,Liquor Law Violation Arrests,Weapons Disciplinary Action,Drug Abuse Disciplinary Action,Liquor Law Violation Disciplinary Action,Programs
Riverland Community College,"1900 8th Ave NW, Austin, Minnesota 55912-1473",(507) 433-0600,www.riverland.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Two but less than 4 years certificate",Town: Distant,No,"3,276 (all undergraduate)",19 to 1,www.riverland.edu/about-riverland/mission-values/,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",64,65,n/a,"$6,060 ","$1,600 ","$5,708 ","$17,740 ",n/a,n/a,n/a,n/a,n/a,"$4,854 ",45%,55%,0%,3%,5%,14%,0%,69%,2%,6%,1%,71%,28%,91%,9%,0%,n/a,n/a,42%,57%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,67%,42%,14%,44%,38%,100%,50%,5%,32%,n/a,50%,29%,n/a,20%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,4,
Rochester Community and Technical College,"851 30th Ave SE, Rochester, Minnesota 55904-4999",(507) 285-7210,www.rctc.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Two but less than 4 years certificate",City: Midsize,No,"4,658 (all undergraduate)",20 to 1,"Rochester Community and Technical College provides accessible, affordable quality learning opportunities to serve a diverse and growing community.",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,Distance education – undergraduate programs offered,Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",102,103,n/a,"$5,372 ","$1,600 ","$7,200 ","$22,072 ",n/a,n/a,n/a,n/a,n/a,"$4,565 ",35%,65%,0%,5%,13%,8%,0%,67%,5%,1%,1%,70%,30%,91%,9%,0%,n/a,n/a,60%,39%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53%,27%,24%,25%,31%,0%,18%,15%,16%,0%,34%,12%,0%,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Saint Cloud State University,"720 Fourth Ave. South, Saint Cloud, Minnesota 56301-4498",(320) 308-0121,www.stcloudstate.edu/,"4-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship",City: Small,Yes,"10,774 (8,956 undergraduate)",16 to 1,www.stcloudstate.edu/president/mission.aspx,Master's Colleges & Universities: Larger Programs,"ROTC (Army),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",374,196,14,n/a,"$1,200 ","$9,347 ","$22,317 ","$9,170 ","$18,010 ",n/a,n/a,n/a,"$6,233 ",46%,54%,0%,5%,8%,4%,0%,68%,3%,3%,8%,85%,15%,87%,10%,2%,37%,63%,51%,50%,53%,47%,n/a,"4,228",94%,21%,Required,Recommended,Required,Recommended,Considered but not required,Considered but not required,Required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62%,47%,35%,47%,45%,14%,29%,29%,38%,100%,49%,27%,67%,71%,0,0,4,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,96,
Saint Johns University,"2850 Abbey Plaza, Collegeville, Minnesota 56321",(320) 363-2011,csbsju.edu/,"4-year, Private not-for-profit","Bachelor's degree
,Master's degree",Rural: Fringe,Yes,"1,643 (1,538 undergraduate)",11 to 1,www.csbsju.edu/about/saint-johns-university/mission-vision-strategic-directions,Baccalaureate Colleges: Arts & Sciences Focus,"ROTC (Army),Teacher certification,Distance education – undergraduate courses offered, programs not offered,Distance education – graduate programs offered,Study abroad",Roman Catholic,"Dual credit,Advanced placement (AP) credits",130,28,0,"$49,842 ","$1,000 ","$11,592 ","$64,334 ",n/a,n/a,n/a,n/a,"$17,460 ","$34,884 ",100%,0%,1%,3%,5%,8%,0%,79%,0%,0%,3%,99%,1%,80%,17%,2%,45%,55%,0%,100%,58%,42%,n/a,"1,542",89%,30%,Required,Recommended,Required,Required,Considered but not required,Considered but not required,Required,6%,50%,540,620,545,620,22,28,20,26,22,28,85%,79%,18%,79%,n/a,80%,61%,69%,78%,100%,81%,n/a,n/a,58%,0,0,4,0,0,0,1,0,7,1,0,0,0,0,0,7,1,0,84,51,
Saint Mary's University of Minnesota,"700 Terrace Heights, Winona, Minnesota 55987-1399",(507) 457-1600,www.smumn.edu/,"4-year, Private not-for-profit","Less than one year certificate
,One but less than two years certificate
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship
,Doctor's degree - professional practice",Town: Distant,Yes,"4,701 (1,246 undergraduate)",18 to 1,www.smumn.edu/about/mission-vision,Doctoral/Professional Universities,"Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Roman Catholic,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",93,338,0,"$39,410 ","$1,600 ","$9,920 ","$52,930 ",n/a,n/a,n/a,n/a,"$10,890 ","$29,804 ",44%,56%,1%,3%,8%,10%,0%,65%,1%,10%,3%,80%,20%,57%,42%,1%,66%,34%,50%,50%,84%,16%,n/a,"1,587",98%,15%,Required,Considered but not required,Required,Recommended,Recommended,Considered but not required,Required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,79%,57%,n/a,56%,58%,n/a,n/a,61%,83%,n/a,60%,50%,32%,50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,
Saint Paul College,"235 Marshall Ave, Saint Paul, Minnesota 55102-9808",(651) 846-1600,www.saintpaul.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Two but less than 4 years certificate",City: Large,No,"5,083 (all undergraduate)",19 to 1,www.saintpaul.edu/aboutus/mission-vision-values,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",120,88,n/a,"$6,041 ","$1,200 ","$9,226 ","$22,987 ",n/a,n/a,n/a,n/a,n/a,"$5,463 ",43%,57%,0%,18%,33%,9%,0%,30%,4%,4%,2%,63%,37%,98%,2%,0%,n/a,n/a,64%,36%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,56%,29%,21%,32%,26%,50%,31%,17%,26%,n/a,42%,38%,0%,n/a,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,
South Central College,"1920 Lee Blvd, North Mankato, Minnesota 56003-1920",(507) 389-7200,www.southcentral.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Two but less than 4 years certificate",Suburb: Small,No,"2,511 (all undergraduate)",14 to 1,southcentral.edu/about/mission-and-guiding-principles.html,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,Distance education – undergraduate programs offered,Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",78,82,n/a,"$5,966 ","$1,250 ","$7,400 ","$19,416 ",n/a,n/a,n/a,n/a,n/a,"$4,485 ",43%,57%,0%,1%,10%,12%,0%,70%,2%,2%,2%,69%,31%,99%,1%,0%,n/a,n/a,64%,35%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48%,30%,15%,36%,22%,0%,0%,15%,23%,0%,34%,35%,100%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Southwest Minnesota State University,"1501 State St, Marshall, Minnesota 56258-5468",(507) 537-7678,www.smsu.edu/,"4-year, Public","Less than one year certificate
,Associate's degree
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate",Town: Remote,Yes,"6,986 (6,556 undergraduate)",16 to 1,www.smsu.edu/about/mission.html,Master's Colleges & Universities: Larger Programs,"Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",100,121,0,"$9,482 ","$1,200 ","$9,026 ","$22,718 ",n/a,n/a,n/a,n/a,"$7,956 ","$7,101 ",39%,61%,0%,2%,3%,5%,0%,80%,3%,5%,2%,90%,8%,71%,28%,1%,52%,48%,22%,78%,46%,54%,$20 ,"1,672",91%,28%,Recommended,Recommended,Recommended,Recommended,Considered but not required,Recommended,Required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,63%,48%,30%,42%,51%,n/a,20%,20%,19%,n/a,53%,8%,70%,31%,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,
St Catherine University,"2004 Randolph Ave, Saint Paul, Minnesota 55105",(651) 690-6000,www.stkate.edu/,"4-year, Private not-for-profit","Less than one year certificate
,Associate's degree
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - professional practice",City: Large,Yes,"3,904 (2,585 undergraduate)",9 to 1,www.stkate.edu/about/mission-and-vision,Doctoral/Professional Universities,"ROTC (Army, Air Force),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Roman Catholic,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",250,218,0,"$46,494 ","$1,000 ","$9,600 ","$59,774 ",n/a,n/a,n/a,n/a,"$17,100 ","$32,230 ",4%,96%,0%,13%,12%,12%,0%,54%,4%,3%,1%,68%,32%,82%,18%,0%,40%,60%,56%,44%,45%,55%,n/a,"1,561",75%,27%,Required,Recommended,Required,Considered but not required,Recommended,Considered but not required,Required,1%,49%,510,600,380,610,19,26,18,25,17,25,76%,59%,30%,100%,60%,33%,52%,50%,61%,100%,66%,53%,38%,40%,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
St Cloud Technical and Community College,"1540 Northway Drive, Saint Cloud, Minnesota 56303-1240",(320) 308-5000,www.sctcc.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Two but less than 4 years certificate",City: Small,No,"3,638 (all undergraduate)",20 to 1,"We provide the education, training, and support necessary for equitable participation in our society, economy, and democracy.",Associate's Colleges: High Career & Technical-High Traditional,Distance education – undergraduate programs offered,Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",89,90,n/a,"$5,874 ","$1,300 ","$8,400 ","$19,774 ",n/a,n/a,n/a,n/a,n/a,"$4,538 ",39%,61%,0%,2%,16%,5%,0%,71%,3%,2%,1%,70%,30%,97%,3%,0%,n/a,n/a,65%,35%,n/a,n/a," $20
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62%,33%,23%,36%,27%,0%,50%,6%,18%,n/a,41%,19%,67%,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
St Olaf College,"1520 St Olaf Ave, Northfield, Minnesota 55057-1098",(507) 786-2222,wp.stolaf.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Distant,Yes,"2,988 (all undergraduate)",12 to 1,wp.stolaf.edu/about/mission/,Baccalaureate Colleges: Arts & Sciences Focus,"Teacher certification,Distance education – undergraduate courses offered, programs not offered,Study abroad",Evangelical Lutheran Church,"Dual credit,Advanced placement (AP) credits",219,87,n/a,"$52,670 ","$1,000 ","$12,000 ","$66,570 ",n/a,n/a,n/a,n/a,n/a,"$37,281 ",42%,58%,0%,6%,3%,8%,0%,67%,4%,1%,10%,100%,0%,43%,50%,7%,n/a,n/a,0%,100%,n/a,n/a,n/a,"6,494",47%,25%,Required,Considered but not required,Required,Required,Required,Considered but not required,Required,16%,39%,620,720,620,710,28,33,27,34,26,31,91%,85%,11%,82%,87%,50%,86%,67%,73%,100%,87%,79%,100%,86%,0,0,6,7,0,0,0,0,0,0,0,0,0,8,0,1,0,0,35,29,
Summit Academy Opportunities Industrialization Center,"935 Olson Memorial Hwy, Minneapolis, Minnesota 55405",(612) 377-0150,www.saoic.org/,"< 2-year, Private not-for-profit",Less than one year certificate,City: Large,No,409 (all undergraduate),15 to 1,saoic.org/the-summit-difference/mission-vision-values/,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",28,0,n/a,"$7,050 ",n/a,"$6,880 ","$20,274 ",n/a,n/a,n/a,n/a,n/a,"$5,489 ",68%,32%,3%,10%,45%,12%,0%,15%,11%,3%,2%,32%,68%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,
The College of Saint Scholastica,"1200 Kenwood Ave, Duluth, Minnesota 55811-4199",(218) 723-6000,www.css.edu/,"4-year, Private not-for-profit","Less than one year certificate
,One but less than two years certificate
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - professional practice",City: Small,Yes,"3,512 (2,144 undergraduate)",10 to 1,www.css.edu/about/mission-and-values/,Doctoral/Professional Universities,"ROTC (Air Force),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Roman Catholic,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",187,189,n/a,"$39,410 ","$1,200 ","$10,696 ","$53,658 ",n/a,n/a,n/a,n/a,"$14,182 ","$27,437 ",31%,69%,1%,2%,5%,4%,0%,81%,3%,2%,2%,76%,24%,85%,12%,2%,n/a,n/a,31%,69%,31%,69%,n/a,"2,087",74%,23%,Required,Recommended,Required,Considered but not required,Considered but not required,Considered but not required,Required,3%,34%,555,650,555,660,22,27,20,26,22,27,81%,65%,1%,64%,66%,0%,63%,33%,65%,n/a,68%,39%,63%,67%,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,17,
United Theological Seminary of the Twin Cities,"767 Eustis St. Suite 140, St. Paul, Minnesota 55114",(651) 633-4311,www.unitedseminary.edu/,"4-year, Private not-for-profit","Master's degree
,Doctor's degree - professional practice",City: Large,Yes,197 (0 undergraduate),n/a,www.unitedseminary.edu/about-us/mission-vision-and-values/,Special Focus Four-Year: Faith-Related Institutions,Distance education – graduate programs offered,United Church of Christ,Credit for life experiences,6,0,n/a,"$11,970 ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,42%,58%,1%,4%,10%,2%,1%,76%,2%,6%,0%,0%,100%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100%,0%,n/a,"This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Academy of Hair Design-Grenada,"1301 Sunset Dr #JK, Grenada, Mississippi 38901",(601) 372-9800,www.academyofhair.com/grenada-campus,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,33 (all undergraduate),15 to 1,www.academyofhair.com,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",2,0,n/a,"$14,200 ","$1,150 ","$12,660 ","$33,410 ",n/a,n/a,n/a,n/a,n/a,"$5,068 ",0%,100%,0%,0%,39%,3%,0%,58%,0%,0%,0%,79%,21%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100%,86%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Academy of Hair Design-Jackson,"5420 I-55 Frontage Rd N, Jackson, Mississippi 39211",(601) 372-9800,www.academyofhair.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,57 (all undergraduate),15 to 1,WWW.ACADEMYOFHAIR.COM,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",4,0,n/a,"$14,200 ","$1,150 ","$12,660 ","$33,410 ",n/a,n/a,n/a,n/a,n/a,"$6,762 ",79%,21%,0%,0%,89%,4%,0%,7%,0%,0%,0%,51%,49%,71%,0%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80%,57%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Academy of Hair Design-Pearl,"3167 Hwy 80 E, Pearl, Mississippi 39208",(601) 372-9800,www.academyofhair.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,42 (all undergraduate),15 to 1,WWW.ACADEMYOFHAIR.COM,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",2,2,n/a,"$14,200 ","$1,150 ","$13,975 ","$35,175 ",n/a,n/a,n/a,n/a,n/a,"$5,263 ",0%,100%,0%,0%,40%,2%,40%,17%,0%,0%,0%,48%,52%,67%,0%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100%,89%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcorn State University,"1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500",(601) 877-6100,www.alcorn.edu/,"4-year, Public","Associate's degree
,Bachelor's degree
,Master's degree
,Post-master's certificate
,Doctor's degree - professional practice",Rural: Remote,Yes,"3,074 (2,533 undergraduate)",15 to 1,www.alcorn.edu/discover-alcorn/mission-vision,Master's Colleges & Universities: Small Programs,"ROTC (Army),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad",Not applicable,"Dual credit,Advanced placement (AP) credits",134,101,0,"$8,176 ","$1,606 ","$10,890 ","$23,812 ",n/a,n/a,n/a,n/a,"$7,785 ","$8,381 ",34%,66%,0%,0%,92%,1%,1%,3%,0%,0%,3%,88%,12%,62%,38%,0%,32%,68%,68%,32%,88%,11%,n/a,"4,819",39%,21%,Required,Recommended,Required,Considered but not required,Considered but not required,Required,Required,10%,90%,433,538,420,535,17,26,15,27,16,25,75%,42%,n/a,38%,45%,n/a,0%,42%,63%,n/a,25%,n/a,n/a,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,
Belhaven University,"1500 Peachtree St, Jackson, Mississippi 39202",(601) 968-5940,www.belhaven.edu/,"4-year, Private not-for-profit","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship",City: Midsize,Yes,"4,278 (1,714 undergraduate)",10 to 1,www.belhaven.edu/belhaven/mission.htm,Doctoral/Professional Universities,"ROTC (Army, Air Force),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Presbyterian Church (USA),"Dual credit,Credit for life experiences,Advanced placement (AP) credits",77,470,0,"$27,825 ",$650 ,"$8,950 ","$38,425 ",n/a,n/a,n/a,n/a,"$10,530 ","$17,068 ",33%,67%,0%,1%,39%,4%,0%,39%,3%,13%,2%,55%,45%,48%,51%,0%,8%,92%,47%,53%,84%,16%,$25 ,"1,787",64%,19%,Required,Considered but not required,Required,Considered but not required,Recommended,Considered but not required,Required,6%,75%,490,660,490,600,19,24,17,25,17,24,68%,54%,n/a,41%,63%,n/a,50%,45%,50%,n/a,58%,55%,53%,64%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Blue Cliff College-Gulfport,"12251 Bernard Pkwy, Gulfport, Mississippi 39503",(228) 896-9727 x0000,bluecliffcollege.edu/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",City: Small,No,345 (all undergraduate),20 to 1,bluecliffcollege.edu/about/mission-statement/,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",14,10,n/a,"$18,381 ",n/a,"$8,676 ","$35,732 ",n/a,n/a,n/a,n/a,n/a,"$4,748 ",9%,91%,1%,1%,53%,3%,0%,38%,1%,3%,0%,34%,66%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21%,27%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
